"N","seed_theta","seed_Y","K","fold","predictive_llk","predictive_llk_dist_mean"
400,4,5,6,5,-3422.65752486374,-3453.22704135688
800,4,1,6,1,-6759.33190562282,-6767.52650042949
800,4,1,6,2,-6849.66239928123,-6844.20300827378
800,4,1,6,3,-6788.62485848101,-6792.56292100558
800,4,1,6,4,-6789.42538145162,-6807.24328610907
800,4,1,6,5,-6789.69667371112,-6782.85268406929
800,4,2,6,1,-6769.16802725726,-6783.17819820226
800,4,2,6,2,-6887.83015305536,-6902.44230359607
800,4,2,6,3,-6819.47738377157,-6828.08693598569
800,4,2,6,4,-6829.07551359074,-6839.29137970078
800,4,2,6,5,-6780.41545965694,-6794.08490816875
800,4,3,6,1,-6833.51667323079,-6847.97757736558
800,4,3,6,2,-6843.90255146711,-6858.17768378058
800,4,3,6,3,-6838.22997231521,-6845.44069189239
800,4,3,6,4,-6802.80058836376,-6814.06230030301
800,4,3,6,5,-6818.64424566869,-6833.43437093765
800,4,4,6,1,-6754.29394163397,-6768.36162614467
800,4,4,6,2,-6756.65838651189,-6737.93216590185
800,4,4,6,3,-6838.39393044276,-6853.44786524564
800,4,4,6,4,-6796.25148752999,-6806.15824528622
800,4,4,6,5,-6763.17955118675,-6778.97191036937
800,4,5,6,1,-6813.90735734716,-6834.88181559659
800,4,5,6,2,-6791.82639126822,-6813.59249651004
800,4,5,6,3,-6801.93965373056,-6815.63468232227
800,4,5,6,4,-6809.18673929185,-6833.77874077215
800,4,5,6,5,-6821.68191548125,-6847.49980775294
400,5,1,6,1,-3150.25923864944,-3172.65644864645
400,5,1,6,2,-3248.10148842196,-3253.48635868869
400,5,1,6,3,-3219.73603960848,-3232.06369508195
400,5,1,6,4,-3217.79283213679,-3230.64621431221
400,5,1,6,5,-3205.79665284939,-3228.71969969235
400,5,2,6,1,-3326.04106981423,-3329.99276279184
400,5,2,6,2,-3278.36906848323,-3287.00741336258
400,5,2,6,3,-3244.33069991454,-3248.91780098193
400,5,2,6,4,-3263.78504811322,-3263.38952195151
400,5,2,6,5,-3279.65010961063,-3284.07641335141
400,5,3,6,1,-3224.78393860807,-3246.03810205923
400,5,3,6,2,-3262.15909685202,-3288.10352135132
400,5,3,6,3,-3284.63327644179,-3304.34700025639
400,5,3,6,4,-3300.70891479027,-3325.62491367073
400,5,3,6,5,-3244.61416684593,-3271.25144066471
400,5,4,6,1,-3228.43763447903,-3251.68658147969
400,5,4,6,2,-3269.52204339567,-3272.14170519291
400,5,4,6,3,-3236.76407307033,-3252.77451498578
400,5,4,6,4,-3260.86812497388,-3275.65397622845
400,5,4,6,5,-3240.26592870584,-3235.16586597404
400,5,5,6,1,-3252.47393957324,-3271.97290555562
400,5,5,6,2,-3230.95434682541,-3247.16744520683
400,5,5,6,3,-3250.85172244848,-3265.95019631589
400,5,5,6,4,-3277.42792262773,-3288.79554373962
400,5,5,6,5,-3228.77457091459,-3245.8021391262
800,5,1,6,1,-6393.69762888171,-6408.81017701463
800,5,1,6,2,-6458.54818613125,-6449.91074272854
800,5,1,6,3,-6388.71344238296,-6414.46648337173
800,5,1,6,4,-6491.0430935626,-6509.66072721109
800,5,1,6,5,-6454.72626671026,-6478.94132495018
800,5,2,6,1,-6507.41013215653,-6502.76673487247
800,5,2,6,2,-6575.27828146338,-6548.6508412883
800,5,2,6,3,-6511.664525909,-6509.28670554115
800,5,2,6,4,-6524.65178292959,-6539.16501691362
800,5,2,6,5,-6568.19978633698,-6583.71809693623
800,5,3,6,1,-6416.30476432759,-6431.97921114844
800,5,3,6,2,-6475.52240238445,-6422.7138347942
800,5,3,6,3,-6458.28423550013,-6478.33165948763
800,5,3,6,4,-6444.25151863155,-6387.56734282782
800,5,3,6,5,-6425.93108976435,-6441.55868707457
800,5,4,6,1,-6486.33704135326,-6505.98116025231
800,5,4,6,2,-6472.12722494055,-6490.34957624244
800,5,4,6,3,-6421.85061325229,-6436.22987992281
800,5,4,6,4,-6451.09270948349,-6454.21493801994
800,5,4,6,5,-6454.49773449478,-6466.86211068929
800,5,5,6,1,-6485.42452608455,-6474.58506988437
800,5,5,6,2,-6396.35142860434,-6400.22562799306
800,5,5,6,3,-6446.30585833732,-6462.18491563058
800,5,5,6,4,-6436.50493636525,-6429.17972539506
800,5,5,6,5,-6448.39061610469,-6454.38496792075
400,6,1,6,1,-3333.71098699611,-3369.77271925352
400,6,1,6,2,-3297.93016814854,-3308.52188495573
400,6,1,6,3,-3303.88079560063,-3339.6638865481
400,6,1,6,4,-3283.99839726279,-3315.3771477805
400,6,1,6,5,-3315.96634751634,-3345.24474126849
400,6,2,6,1,-3424.74195210497,-3442.79867766393
400,6,2,6,2,-3339.94571357837,-3354.09916322237
400,6,2,6,3,-3332.82414058827,-3351.66540932795
400,6,2,6,4,-3303.02819444942,-3317.20590507687
400,6,2,6,5,-3332.64842953403,-3353.11986860354
400,6,3,6,1,-3270.61598761222,-3303.25364337162
400,6,3,6,2,-3268.25280119902,-3302.32058555351
400,6,3,6,3,-3332.21200677829,-3373.33265392686
400,6,3,6,4,-3315.73826097261,-3346.09844590807
400,6,3,6,5,-3325.02363783471,-3344.21680358539
400,6,4,6,1,-3254.00058533457,-3283.70049700239
400,6,4,6,2,-3267.70426412706,-3289.68531111551
400,6,4,6,3,-3282.18334532823,-3282.96900996548
400,6,4,6,4,-3243.85155875908,-3252.30770069229
400,6,4,6,5,-3274.70007906348,-3306.99539790488
400,6,5,6,1,-3287.51689347907,-3322.41227411077
400,6,5,6,2,-3305.95440098332,-3314.68566364246
400,6,5,6,3,-3278.3286990008,-3299.8443289788
400,6,5,6,4,-3272.2654750346,-3295.54162714275
400,6,5,6,5,-3285.88015254643,-3300.79887478604
800,6,1,6,1,-6547.90279544094,-6572.19412305202
800,6,1,6,2,-6626.99271017756,-6626.83400387172
800,6,1,6,3,-6465.36619713946,-6489.75691610813
800,6,1,6,4,-6565.23295792069,-6592.4906346398
800,6,1,6,5,-6515.48390876599,-6540.076284719
800,6,2,6,1,-6527.9111824644,-6546.65364290795
800,6,2,6,2,-6534.04020279431,-6565.25282798541
800,6,2,6,3,-6544.50563117785,-6573.84776938494
800,6,2,6,4,-6564.95211121437,-6589.09440774299
800,6,2,6,5,-6560.87842485492,-6567.76821063145
800,6,3,6,1,-6514.91147476815,-6543.02227277599
800,6,3,6,2,-6556.33241682533,-6587.73566032381
800,6,3,6,3,-6619.10085701016,-6651.52219658097
800,6,3,6,4,-6505.93603676983,-6494.31286542297
800,6,3,6,5,-6512.85340447652,-6538.9262654322
800,6,4,6,1,-6699.44587013207,-6621.34006733313
800,6,4,6,2,-6504.29307784036,-6538.28105347293
800,6,4,6,3,-6601.42319518012,-6513.21192897652
800,6,4,6,4,-6599.98977436367,-6569.78205573949
800,6,4,6,5,-6469.4102041797,-6503.25272048183
800,6,5,6,1,-6527.54365058715,-6501.62046319025
800,6,5,6,2,-6498.7713164364,-6462.81893491986
800,6,5,6,3,-6558.79049788661,-6582.5154382955
800,6,5,6,4,-6527.43450149438,-6560.00505201983
800,6,5,6,5,-6547.22543353846,-6558.67112400847
400,7,1,6,1,-3441.46612517018,-3431.4569909183
400,7,1,6,2,-3408.16099902668,-3391.95572783377
400,7,1,6,3,-3363.49529457742,-3357.59865100409
400,7,1,6,4,-3436.8307665191,-3436.52466024705
400,7,1,6,5,-3391.65805224935,-3388.31887534638
400,7,2,6,1,-3415.92865244202,-3432.95616261161
400,7,2,6,2,-3453.29576117052,-3465.68332436491
400,7,2,6,3,-3442.25114908762,-3456.47373630437
400,7,2,6,4,-3408.26522783957,-3413.52665429581
400,7,2,6,5,-3438.94367273908,-3427.98311929093
400,7,3,6,1,-3357.04603203992,-3367.55702981656
400,7,3,6,2,-3357.18426660593,-3369.31134367597
400,7,3,6,3,-3411.76352743204,-3425.74212197316
400,7,3,6,4,-3415.88047078738,-3436.41635645727
400,7,3,6,5,-3368.29193511309,-3375.60202104317
400,7,4,6,1,-3394.62590364406,-3415.23697709526
400,7,4,6,2,-3391.47858744565,-3415.26524365601
400,7,4,6,3,-3382.45029548197,-3407.74480919909
400,7,4,6,4,-3373.45014545517,-3388.03007155677
400,7,4,6,5,-3358.54127895689,-3375.53621764522
400,7,5,6,1,-3414.61838606624,-3417.32752819401
400,7,5,6,2,-3345.43872894559,-3333.54825947631
400,7,5,6,3,-3372.58808811761,-3377.7164627488
400,7,5,6,4,-3412.05506973591,-3401.23158190897
400,7,5,6,5,-3436.39857458236,-3431.1608071012
800,7,1,6,1,-6738.47501501817,-6750.66543575438
800,7,1,6,2,-6731.68330179235,-6743.86448300663
800,7,1,6,3,-6799.55070456211,-6812.77417348778
800,7,1,6,4,-6754.9372618573,-6770.62863067537
800,7,1,6,5,-6747.2549761835,-6756.21942134252
800,7,2,6,1,-6729.24006646841,-6743.29121521875
800,7,2,6,2,-6744.40993707207,-6758.99313539145
800,7,2,6,3,-6724.2503850298,-6740.14592545808
800,7,2,6,4,-6790.18236336573,-6798.980226072
800,7,2,6,5,-6757.74476647114,-6774.67340330956
800,7,3,6,1,-6688.65514152496,-6693.61156409942
800,7,3,6,2,-6711.97539245141,-6713.33475261431
800,7,3,6,3,-6674.62782924628,-6684.51305833346
800,7,3,6,4,-6625.20559002292,-6643.94258778962
800,7,3,6,5,-6715.87621407081,-6732.08293016483
800,7,4,6,1,-6699.5351906693,-6702.55046279987
800,7,4,6,2,-6714.12848399433,-6734.54896214381
800,7,4,6,3,-6700.27562783156,-6726.22827960806
800,7,4,6,4,-6759.57566316226,-6747.84130800466
800,7,4,6,5,-6700.40558527574,-6714.53832816296
800,7,5,6,1,-6660.17420961491,-6674.50733249704
800,7,5,6,2,-6677.74502175912,-6690.48234122296
800,7,5,6,3,-6689.87900363091,-6705.3380735125
800,7,5,6,4,-6675.76544561762,-6695.53752769055
800,7,5,6,5,-6838.91994097602,-6836.74202186608
400,8,1,6,1,-3244.30476189169,-3257.5428953453
400,8,1,6,2,-3313.72367156268,-3317.78073058599
400,8,1,6,3,-3249.88371574517,-3264.42358033464
400,8,1,6,4,-3235.70235721273,-3255.14594222327
400,8,1,6,5,-3283.61656173208,-3275.16911608736
400,8,2,6,1,-3286.323622121,-3289.49133227082
400,8,2,6,2,-3296.78085935573,-3281.2483552509
400,8,2,6,3,-3303.32579240008,-3319.4883017008
400,8,2,6,4,-3200.64272163047,-3205.11562733309
400,8,2,6,5,-3268.28139744189,-3282.28767198184
400,8,3,6,1,-3203.97963347014,-3224.20651516204
400,8,3,6,2,-3192.54243520053,-3205.46714255571
400,8,3,6,3,-3184.60864835021,-3205.28729080493
400,8,3,6,4,-3227.79189703389,-3247.43209483941
400,8,3,6,5,-3156.92034171185,-3158.03200064364
400,8,4,6,1,-3226.73192385461,-3247.35865550392
400,8,4,6,2,-3304.67986848884,-3322.23825763434
400,8,4,6,3,-3265.0286220143,-3239.54405321154
400,8,4,6,4,-3232.27067893126,-3255.87599895496
400,8,4,6,5,-3188.48318324979,-3212.77680464066
400,8,5,6,1,-3257.46475128149,-3280.89426902804
400,8,5,6,2,-3223.54977516305,-3250.01382685578
400,8,5,6,3,-3212.60261238867,-3231.75601109115
400,8,5,6,4,-3224.41901618604,-3226.41426441067
400,8,5,6,5,-3250.26152661939,-3267.82838142554
800,8,1,6,1,-6413.04958071148,-6426.2480983095
800,8,1,6,2,-6397.09179267284,-6413.14286736874
800,8,1,6,3,-6435.92477840797,-6438.73152657474
800,8,1,6,4,-6452.21164837873,-6469.04302198505
800,8,1,6,5,-6399.65934633742,-6415.38178228106
800,8,2,6,1,-6433.18952978173,-6425.03731920193
800,8,2,6,2,-6403.15333006994,-6418.86712136382
800,8,2,6,3,-6477.31387090898,-6452.63408984137
800,8,2,6,4,-6371.42954085669,-6384.36951317722
800,8,2,6,5,-6338.67975214868,-6350.9241960495
800,8,3,6,1,-6367.20851934482,-6303.49263912717
800,8,3,6,2,-6423.78466030194,-6375.48006796698
800,8,3,6,3,-6450.26020911379,-6460.48674521943
800,8,3,6,4,-6381.39469218986,-6401.7425810598
800,8,3,6,5,-6403.17416641362,-6422.62521546017
800,8,4,6,1,-6358.04417477535,-6368.38717967222
800,8,4,6,2,-6376.42558911232,-6383.89188572752
800,8,4,6,3,-6350.46295707792,-6353.33693284589
800,8,4,6,4,-6455.087086356,-6391.69915848603
800,8,4,6,5,-6473.04377035802,-6456.08404573905
800,8,5,6,1,-6461.95375748911,-6481.10430405769
800,8,5,6,2,-6439.34809549014,-6450.7935557628
800,8,5,6,3,-6462.0380550311,-6484.01919121509
800,8,5,6,4,-6398.34251791097,-6414.23128235108
800,8,5,6,5,-6348.1908081499,-6357.56846151798
400,9,1,6,1,-3316.05525972688,-3345.10391228332
400,9,1,6,2,-3316.85849364354,-3341.2151129962
400,9,1,6,3,-3277.29832201606,-3307.42262687998
400,9,1,6,4,-3338.89377281789,-3368.63017836845
400,9,1,6,5,-3289.99351435958,-3317.86624467405
400,9,2,6,1,-3319.06049277022,-3346.17854377636
400,9,2,6,2,-3337.8087417703,-3352.19725066565
400,9,2,6,3,-3320.31421230063,-3345.66535137493
400,9,2,6,4,-3329.6393961836,-3350.60207689262
400,9,2,6,5,-3303.97616202649,-3325.69262866616
400,9,3,6,1,-3213.62271645129,-3240.82288142888
400,9,3,6,2,-3290.82335864982,-3321.39791395831
400,9,3,6,3,-3258.32402303406,-3278.13130745579
400,9,3,6,4,-3359.76338329229,-3397.66004946838
400,9,3,6,5,-3268.42563030089,-3304.10369363406
400,9,4,6,1,-3218.20729360175,-3236.62195563934
400,9,4,6,2,-3283.27207031323,-3316.92351987439
400,9,4,6,3,-3244.35392398628,-3268.30030691371
400,9,4,6,4,-3252.3005110594,-3272.7316528755
400,9,4,6,5,-3303.12106255302,-3307.54374874628
400,9,5,6,1,-3305.09270601859,-3334.63727582895
400,9,5,6,2,-3338.26207048648,-3367.30758834038
400,9,5,6,3,-3339.97849101927,-3357.25833194622
400,9,5,6,4,-3354.12398300585,-3385.05916929687
400,9,5,6,5,-3310.42252588322,-3340.34809448811
800,9,1,6,1,-6579.81921743675,-6605.16169766678
800,9,1,6,2,-6619.87771113316,-6642.79002353182
800,9,1,6,3,-6544.28330634552,-6567.36614257253
800,9,1,6,4,-6615.29445181414,-6625.39004165472
800,9,1,6,5,-6575.8630288068,-6595.27595749792
800,9,2,6,1,-6485.6133750015,-6509.40289819984
800,9,2,6,2,-6535.77792839449,-6559.01930208702
800,9,2,6,3,-6628.29915068571,-6655.33342981472
800,9,2,6,4,-6552.87283898914,-6578.83566615578
800,9,2,6,5,-6593.51178587098,-6588.35325939249
800,9,3,6,1,-6595.59358172468,-6621.80199451579
800,9,3,6,2,-6577.99325039344,-6600.02006966523
800,9,3,6,3,-6563.19201505261,-6571.92864098048
800,9,3,6,4,-6566.45652217458,-6596.87312081457
800,9,3,6,5,-6481.6124852834,-6507.80978016415
800,9,4,6,1,-6439.65933272563,-6464.65702620778
800,9,4,6,2,-6476.900679248,-6503.48605793276
800,9,4,6,3,-6526.19882313895,-6554.36311975198
800,9,4,6,4,-6478.13413442404,-6504.60443956576
800,9,4,6,5,-6514.75562521195,-6544.57118530946
800,9,5,6,1,-6533.48193375081,-6557.3979266932
800,9,5,6,2,-6545.99835428055,-6559.61509850416
800,9,5,6,3,-6582.43299250468,-6593.83342707301
800,9,5,6,4,-6580.93634566444,-6607.27802339404
800,9,5,6,5,-6532.12153525276,-6557.30732404916
400,10,1,6,1,-3308.4429907063,-3289.1390097876
400,10,1,6,2,-3294.08312193797,-3304.02769943869
400,10,1,6,3,-3279.50600425542,-3289.94438530717
400,10,1,6,4,-3280.86599834727,-3293.19648831089
400,10,1,6,5,-3349.10214833771,-3343.18782438922
400,10,2,6,1,-3363.14472444162,-3339.70013779601
400,10,2,6,2,-3370.43101527654,-3357.27066585821
400,10,2,6,3,-3357.89371822804,-3347.35818442516
400,10,2,6,4,-3322.242831863,-3308.53041216015
400,10,2,6,5,-3370.07779398798,-3335.52791192705
400,10,3,6,1,-3347.89115307889,-3347.03068645382
400,10,3,6,2,-3256.23254192621,-3272.51308179484
400,10,3,6,3,-3347.02950967148,-3364.56287677915
400,10,3,6,4,-3283.05267985974,-3302.62894401853
400,10,3,6,5,-3313.85027213327,-3328.14264722918
400,10,4,6,1,-3275.7833678819,-3301.47155389903
400,10,4,6,2,-3271.65988443812,-3300.77727422004
400,10,4,6,3,-3259.67933985623,-3285.69102738901
400,10,4,6,4,-3265.88760603635,-3294.1489656484
400,10,4,6,5,-3292.30197557434,-3321.3997176429
400,10,5,6,1,-3310.79465222759,-3324.69075099718
400,10,5,6,2,-3341.41917366407,-3352.2769181331
400,10,5,6,3,-3375.18672888525,-3393.39112985328
400,10,5,6,4,-3314.44858572973,-3325.7859955967
400,10,5,6,5,-3270.18416560794,-3294.58898711553
800,10,1,6,1,-6559.63166302532,-6552.49527404153
800,10,1,6,2,-6577.89022168868,-6579.23191634151
800,10,1,6,3,-6467.11775853368,-6475.72316199009
800,10,1,6,4,-6675.00220569104,-6669.07402763282
800,10,1,6,5,-6585.98820796772,-6595.66238203798
800,10,2,6,1,-6521.21227353887,-6536.38902609085
800,10,2,6,2,-6542.29723229618,-6558.61765459745
800,10,2,6,3,-6577.87768336323,-6570.81677104013
800,10,2,6,4,-6519.11592563445,-6538.54151954978
800,10,2,6,5,-6555.34499994942,-6572.58611961623
800,10,3,6,1,-6468.85917148715,-6493.44973460998
800,10,3,6,2,-6470.1664170919,-6491.84986318803
800,10,3,6,3,-6513.69918773181,-6543.49130197959
800,10,3,6,4,-6484.21308995695,-6494.76634414518
800,10,3,6,5,-6526.21529418416,-6547.05941431356
800,10,4,6,1,-6575.77169340231,-6598.30829345859
800,10,4,6,2,-6474.60730127213,-6496.7665621953
800,10,4,6,3,-6506.10479057526,-6521.4686076262
800,10,4,6,4,-6492.73983130585,-6512.5022989302
