N,seed_theta,seed_Y,var_name,est,sd,bias,cover
400,1,1,Sigma_1,3.72905707167353,0.91379871944845,-1.56094292832647,TRUE
400,1,1,Sigma_2,0.856552121363011,0.250245349874865,-0.143447878636989,TRUE
400,1,1,Sigma_3,1.04236856229784,0.309784609353169,0.0423685622978429,TRUE
400,1,1,Sigma_4,3.12211266440483,0.640347951114747,-2.16788733559516,FALSE
400,1,1,Sigma_5,2.92940333733011,0.659288525363093,-2.36059666266989,FALSE
400,1,1,Sigma_6,1.08274692307443,0.218220360327344,0.0827469230744258,TRUE
400,1,1,Sigma_7,3.71731133356371,0.859471426847774,-1.57268866643629,TRUE
400,1,2,Sigma_1,3.27526253720825,0.778399229914257,-2.01473746279175,FALSE
400,1,2,Sigma_2,0.953339274910804,0.275445502727495,-0.0466607250891959,TRUE
400,1,2,Sigma_3,0.780180504136678,0.228077209740744,-0.219819495863322,TRUE
400,1,2,Sigma_4,4.57147692010493,0.813105707362001,-0.71852307989507,TRUE
400,1,2,Sigma_5,3.34214361090926,0.720858621189565,-1.94785638909074,FALSE
400,1,2,Sigma_6,1.05118583940907,0.211659534771158,0.0511858394090694,TRUE
400,1,2,Sigma_7,4.06463759125001,0.936819575272899,-1.22536240874999,TRUE
400,1,3,Sigma_1,3.89523972777691,0.947509933787661,-1.39476027222309,TRUE
400,1,3,Sigma_2,1.21616747013839,0.353933071599841,0.216167470138395,TRUE
400,1,3,Sigma_3,0.846540728943422,0.253102925907483,-0.153459271056578,TRUE
400,1,3,Sigma_4,4.92927630572535,0.931627250506689,-0.360723694274649,TRUE
400,1,3,Sigma_5,4.18548077856267,1.0489780538393,-1.10451922143733,TRUE
400,1,3,Sigma_6,0.972341630652247,0.194745494548186,-0.0276583693477526,TRUE
400,1,3,Sigma_7,4.23823270677599,1.03218619899756,-1.05176729322401,TRUE
400,1,4,Sigma_1,4.12038792249789,0.973388992708105,-1.16961207750211,TRUE
400,1,4,Sigma_2,0.775775727852104,0.220017990567317,-0.224224272147896,TRUE
400,1,4,Sigma_3,0.844520078241042,0.236028517777592,-0.155479921758958,TRUE
400,1,4,Sigma_4,4.58909700278199,0.904814538374179,-0.700902997218012,TRUE
400,1,4,Sigma_5,3.1351884826503,0.748167292418813,-2.1548115173497,FALSE
400,1,4,Sigma_6,1.13339834019129,0.218366512769739,0.133398340191294,TRUE
400,1,4,Sigma_7,4.21923394710858,1.03153563319123,-1.07076605289142,TRUE
400,1,5,Sigma_1,4.26377462518361,1.08581437222609,-1.02622537481639,TRUE
400,1,5,Sigma_2,0.831139584305039,0.232137077595041,-0.168860415694961,TRUE
400,1,5,Sigma_3,0.873663061226783,0.264723635979054,-0.126336938773217,TRUE
400,1,5,Sigma_4,4.23357260813259,0.920807639916566,-1.05642739186741,TRUE
400,1,5,Sigma_5,3.34304008869044,0.787095233416783,-1.94695991130956,FALSE
400,1,5,Sigma_6,1.08199960400586,0.224189597091801,0.0819996040058566,TRUE
400,1,5,Sigma_7,3.91746008259705,0.922632182038884,-1.37253991740295,TRUE
400,2,1,Sigma_1,4.49683095119182,1.12478007982004,-0.793169048808176,TRUE
400,2,1,Sigma_2,1.44093882512272,0.447997426315751,0.440938825122724,TRUE
400,2,1,Sigma_3,1.06282693225503,0.331848759709667,0.0628269322550286,TRUE
400,2,1,Sigma_4,6.67803810224722,1.3528487475734,1.38803810224722,TRUE
400,2,1,Sigma_5,6.98755607276941,1.59027270282671,1.69755607276941,TRUE
400,2,1,Sigma_6,1.2638022459762,0.280727148625275,0.263802245976202,TRUE
400,2,1,Sigma_7,3.4907319876327,0.912909493599107,-1.7992680123673,TRUE
400,2,2,Sigma_1,3.86162141813177,0.979333911578076,-1.42837858186823,TRUE
400,2,2,Sigma_2,2.11575062078543,0.618387654639514,1.11575062078543,FALSE
400,2,2,Sigma_3,1.10014359644776,0.351729370744245,0.10014359644776,TRUE
400,2,2,Sigma_4,5.25525973483632,1.02837977001587,-0.0347402651636752,TRUE
400,2,2,Sigma_5,5.63236317583863,1.24925563959008,0.342363175838631,TRUE
400,2,2,Sigma_6,1.24264913190764,0.276812907496358,0.242649131907643,TRUE
400,2,2,Sigma_7,2.84884047456526,0.741869362865925,-2.44115952543473,FALSE
400,2,3,Sigma_1,3.98383295220355,0.985392840584075,-1.30616704779645,TRUE
400,2,3,Sigma_2,2.26049840202723,0.749616276418644,1.26049840202723,FALSE
400,2,3,Sigma_3,1.08471825439698,0.339086102055041,0.0847182543969822,TRUE
400,2,3,Sigma_4,4.83228427426804,1.04575387741652,-0.457715725731958,TRUE
400,2,3,Sigma_5,6.23111974742702,1.36358501800037,0.941119747427019,TRUE
400,2,3,Sigma_6,1.19602352536242,0.265656678502712,0.196023525362422,TRUE
400,2,3,Sigma_7,3.60633224363805,0.950625386281606,-1.68366775636195,TRUE
400,2,4,Sigma_1,5.35464231448519,1.34868708571625,0.0646423144851882,TRUE
400,2,4,Sigma_2,1.43109078017486,0.426353778868769,0.431090780174857,TRUE
400,2,4,Sigma_3,1.23277142947423,0.362520332337311,0.232771429474226,TRUE
400,2,4,Sigma_4,6.29403028582664,1.37849115368432,1.00403028582665,TRUE
400,2,4,Sigma_5,6.40883901260362,1.52837025714742,1.11883901260362,TRUE
400,2,4,Sigma_6,1.47163049109324,0.321798913696903,0.471630491093238,TRUE
400,2,4,Sigma_7,4.30320838284344,1.12512012961399,-0.986791617156557,TRUE
400,2,5,Sigma_1,4.13758924698861,1.02070238230697,-1.15241075301139,TRUE
400,2,5,Sigma_2,1.62573917118018,0.513139942812561,0.625739171180176,TRUE
400,2,5,Sigma_3,1.24638415783324,0.376412807795641,0.246384157833244,TRUE
400,2,5,Sigma_4,6.10597859898214,1.2585035641545,0.815978598982143,TRUE
400,2,5,Sigma_5,6.10096967318118,1.4085615794967,0.810969673181182,TRUE
400,2,5,Sigma_6,1.38296298850603,0.287084259831625,0.382962988506029,TRUE
400,2,5,Sigma_7,2.89369040207681,0.731470586835921,-2.39630959792319,FALSE
400,3,1,Sigma_1,3.5178327008996,0.927122360095399,-1.7721672991004,TRUE
400,3,1,Sigma_2,0.854898600880314,0.274482343714955,-0.145101399119686,TRUE
400,3,1,Sigma_3,0.916603278162288,0.25200642194984,-0.0833967218377117,TRUE
400,3,1,Sigma_4,3.15542640847114,0.622781191124404,-2.13457359152885,FALSE
400,3,1,Sigma_5,3.76445422709805,0.821086535137903,-1.52554577290195,TRUE
400,3,1,Sigma_6,1.08271778404523,0.233571289887764,0.0827177840452253,TRUE
400,3,1,Sigma_7,3.56069341345773,0.872667851845275,-1.72930658654227,TRUE
400,3,2,Sigma_1,2.79725648393461,0.638735894417951,-2.49274351606539,FALSE
400,3,2,Sigma_2,0.740820810779966,0.228206140739322,-0.259179189220034,TRUE
400,3,2,Sigma_3,0.705545561258939,0.209313148885101,-0.294454438741061,TRUE
400,3,2,Sigma_4,3.42110522534588,0.659503756300031,-1.86889477465412,FALSE
400,3,2,Sigma_5,3.18492423747059,0.683891121345487,-2.10507576252941,FALSE
400,3,2,Sigma_6,0.634887487018081,0.145140583676196,-0.365112512981919,FALSE
400,3,2,Sigma_7,4.08455328388028,1.02213671883797,-1.20544671611972,TRUE
400,3,3,Sigma_1,3.32820781818477,0.834381883481976,-1.96179218181522,TRUE
400,3,3,Sigma_2,0.721029709044444,0.230622012772723,-0.278970290955556,TRUE
