seed_theta,seed_Y,fixtree,method_hclust,rmse,tree_frobenius,ari,label,N
2,4,FALSE,ward.D,0.152122929880441,2.76602674413018,0.286558538385954,BayesLCM (homogeneous var) + HC,400
2,4,FALSE,ward.D2,0.152122929880441,2.74535978785539,0.286558538385954,BayesLCM (homogeneous var) + HC,400
2,4,FALSE,single,0.152122929880441,2.51164697993984,0.286558538385954,BayesLCM (homogeneous var) + HC,400
2,4,FALSE,average,0.152122929880441,2.64788230597004,0.286558538385954,BayesLCM (homogeneous var) + HC,400
2,4,FALSE,complete,0.152122929880441,2.7299814708467,0.286558538385954,BayesLCM (homogeneous var) + HC,400
2,4,FALSE,mcquitty,0.152122929880441,2.66033887473834,0.286558538385954,BayesLCM (homogeneous var) + HC,400
2,5,FALSE,ward.D,0.138099640203656,2.2314279628107,0.466834497240687,BayesLCM (homogeneous var) + HC,400
2,5,FALSE,ward.D2,0.138099640203656,2.28063906224254,0.466834497240687,BayesLCM (homogeneous var) + HC,400
2,5,FALSE,single,0.138099640203656,2.27670218807449,0.466834497240687,BayesLCM (homogeneous var) + HC,400
2,5,FALSE,average,0.138099640203656,2.37695769787062,0.466834497240687,BayesLCM (homogeneous var) + HC,400
2,5,FALSE,complete,0.138099640203656,2.53710482001917,0.466834497240687,BayesLCM (homogeneous var) + HC,400
2,5,FALSE,mcquitty,0.138099640203656,2.43874656208988,0.466834497240687,BayesLCM (homogeneous var) + HC,400
3,1,FALSE,ward.D,0.125113263443556,2.35160700073826,0.659730406877846,BayesLCM (homogeneous var) + HC,400
3,1,FALSE,ward.D2,0.125113263443556,2.38967248477792,0.659730406877846,BayesLCM (homogeneous var) + HC,400
3,1,FALSE,single,0.125113263443556,2.49049139195145,0.659730406877846,BayesLCM (homogeneous var) + HC,400
3,1,FALSE,average,0.125113263443556,2.50955559178539,0.659730406877846,BayesLCM (homogeneous var) + HC,400
3,1,FALSE,complete,0.125113263443556,2.52918825843008,0.659730406877846,BayesLCM (homogeneous var) + HC,400
3,1,FALSE,mcquitty,0.125113263443556,2.55439862000295,0.659730406877846,BayesLCM (homogeneous var) + HC,400
