N,seed_theta,seed_Y,K_candidate,fold,predictive_llk
400,4,1,7,4,-3472.53258400585
400,4,1,7,5,-3394.20918379236
400,4,1,8,1,-3456.20726421176
400,4,1,8,2,-3474.48453380126
400,4,1,8,3,-3366.97369096513
400,4,1,8,4,-3470.21222486426
400,4,1,8,5,-3398.63060366097
400,4,2,4,1,-3484.37674697614
400,4,2,4,2,-3450.8054975329
400,4,2,4,3,-3463.38735776372
400,4,2,4,4,-3462.45070552543
400,4,2,4,5,-3437.30069974774
400,4,2,5,1,-3470.77689755665
400,4,2,5,2,-3452.95610663147
400,4,2,5,3,-3442.76917972873
400,4,2,5,4,-3464.92475843432
400,4,2,5,5,-3439.94402742985
400,4,2,6,1,-3494.43307717451
400,4,2,6,2,-3473.76098543888
400,4,2,6,3,-3426.09645491323
400,4,2,6,4,-3457.83330065558
400,4,2,6,5,-3434.91493279741
400,4,2,7,1,-3473.10461416268
400,4,2,7,2,-3479.11677507486
400,4,2,7,3,-3447.33736025324
400,4,2,7,4,-3474.94451879588
400,4,2,7,5,-3443.73908966184
400,4,2,8,1,-3492.52876846289
400,4,2,8,2,-3477.54669843278
400,4,2,8,3,-3485.29563752083
400,4,2,8,4,-3467.6495724268
400,4,2,8,5,-3452.40211452298
400,4,3,4,1,-3496.82696019799
400,4,3,4,2,-3409.1475121272
400,4,3,4,3,-3422.11386853951
400,4,3,4,4,-3435.71344038433
400,4,3,4,5,-3417.5639221227
400,4,3,5,1,-3475.49735061921
400,4,3,5,2,-3390.53863608545
400,4,3,5,3,-3430.97242926372
400,4,3,5,4,-3415.31767923111
400,4,3,5,5,-3387.93412610956
400,4,3,6,1,-3480.63150126987
400,4,3,6,2,-3399.673651509
400,4,3,6,3,-3416.97241576382
400,4,3,6,4,-3417.90786453989
400,4,3,6,5,-3392.44000264625
400,4,3,7,1,-3491.78155285883
400,4,3,7,2,-3407.4159635073
400,4,3,7,3,-3424.39617627598
400,4,3,7,4,-3435.88684540686
400,4,3,7,5,-3402.51312667978
400,4,3,8,1,-3495.38056188227
400,4,3,8,2,-3406.50456971263
400,4,3,8,3,-3437.27450833199
400,4,3,8,4,-3441.32443613507
400,4,3,8,5,-3410.65725090194
400,4,4,4,1,-3450.86145290283
400,4,4,4,2,-3413.06986318256
400,4,4,4,3,-3456.2169239528
400,4,4,4,4,-3406.99048408038
400,4,4,4,5,-3397.31093216757
400,4,4,5,1,-3443.1510676517
400,4,4,5,2,-3382.57764340755
400,4,4,5,3,-3434.24712276567
400,4,4,5,4,-3401.46563929463
400,4,4,5,5,-3368.69685106471
400,4,4,6,1,-3446.12754967904
400,4,4,6,2,-3395.0161883544
400,4,4,6,3,-3435.15413960669
400,4,4,6,4,-3405.08885263834
400,4,4,6,5,-3374.3685605961
400,4,4,7,1,-3453.50607166083
400,4,4,7,2,-3406.54784806853
400,4,4,7,3,-3446.19427372594
400,4,4,7,4,-3422.00907444969
400,4,4,7,5,-3383.75880322761
400,4,4,8,1,-3458.15245744589
400,4,4,8,2,-3408.06100305362
400,4,4,8,3,-3448.65478362453
400,4,4,8,4,-3418.32470538654
400,4,4,8,5,-3393.80328223595
400,4,5,4,1,-3427.76958316724
400,4,5,4,2,-3418.63593189985
400,4,5,4,3,-3471.29800525212
400,4,5,4,4,-3428.12975924346
400,4,5,4,5,-3449.51708154224
400,4,5,5,1,-3415.2219690612
400,4,5,5,2,-3408.75793974703
400,4,5,5,3,-3452.85351587463
400,4,5,5,4,-3410.60217007426
400,4,5,5,5,-3428.22126621559
400,4,5,6,1,-3409.60983729775
400,4,5,6,2,-3416.07098900231
400,4,5,6,3,-3443.20224920526
400,4,5,6,4,-3395.31188492939
400,4,5,6,5,-3417.5520845261
400,4,5,7,1,-3416.51148741666
400,4,5,7,2,-3406.23494224205
400,4,5,7,3,-3453.41068651487
400,4,5,7,4,-3408.97745802482
400,4,5,7,5,-3425.91782692056
400,4,5,8,1,-3424.09086930874
400,4,5,8,2,-3419.73511232388
400,4,5,8,3,-3452.37658317143
400,4,5,8,4,-3408.95953569731
400,4,5,8,5,-3462.66338971158
400,5,1,4,1,-3151.688084242
400,5,1,4,2,-3232.54659089845
400,5,1,4,3,-3212.15085130227
400,5,1,4,4,-3208.38083846351
400,5,1,4,5,-3211.22063094286
400,5,1,5,1,-3167.761670272
400,5,1,5,2,-3232.93676486774
400,5,1,5,3,-3209.12205461743
400,5,1,5,4,-3205.42516009753
400,5,1,5,5,-3205.09605774216
400,5,1,6,1,-3152.34254526958
400,5,1,6,2,-3232.50754958738
400,5,1,6,3,-3208.38620962583
400,5,1,6,4,-3202.39134930363
400,5,1,6,5,-3207.62474175841
400,5,1,7,1,-3155.40139379705
400,5,1,7,2,-3234.67591099949
400,5,1,7,3,-3240.74459481059
400,5,1,7,4,-3207.54763066991
400,5,1,7,5,-3201.27304493237
400,5,1,8,1,-3160.63757746379
400,5,1,8,2,-3235.94682786601
400,5,1,8,3,-3227.62702917147
400,5,1,8,4,-3220.13475813826
400,5,1,8,5,-3209.46622840729
400,5,2,4,1,-3378.16018572668
400,5,2,4,2,-3260.94357693262
400,5,2,4,3,-3224.47142146376
400,5,2,4,4,-3240.23278531947
400,5,2,4,5,-3260.35286304331
400,5,2,5,1,-3314.72364253099
400,5,2,5,2,-3274.4005482786
400,5,2,5,3,-3226.97825974237
400,5,2,5,4,-3242.06764741289
400,5,2,5,5,-3258.72856196488
400,5,2,6,1,-3321.68873447852
400,5,2,6,2,-3268.35953056839
400,5,2,6,3,-3230.85661084204
400,5,2,6,4,-3247.84129561113
400,5,2,6,5,-3273.08547015875
400,5,2,7,1,-3337.51747049353
400,5,2,7,2,-3271.75334660605
400,5,2,7,3,-3236.88538625179
400,5,2,7,4,-3250.83687495219
400,5,2,7,5,-3276.5609418278
400,5,2,8,1,-3329.863240194
400,5,2,8,2,-3281.80808169381
400,5,2,8,3,-3257.79538356432
400,5,2,8,4,-3260.1870802257
400,5,2,8,5,-3277.86504985498
400,5,3,4,1,-3228.10122305698
400,5,3,4,2,-3264.52967030165
400,5,3,4,3,-3273.81684244756
400,5,3,4,4,-3300.71275092301
400,5,3,4,5,-3255.60483141623
400,5,3,5,1,-3210.32597338626
400,5,3,5,2,-3257.53287514214
400,5,3,5,3,-3279.86292655438
400,5,3,5,4,-3291.90187842309
400,5,3,5,5,-3268.72327550042
400,5,3,6,1,-3216.62319409557
400,5,3,6,2,-3261.74890790889
400,5,3,6,3,-3283.33694525827
400,5,3,6,4,-3293.8088296453
400,5,3,6,5,-3238.3353110964
400,5,3,7,1,-3256.34965565047
400,5,3,7,2,-3270.24360588265
400,5,3,7,3,-3288.97294160165
400,5,3,7,4,-3315.89362562514
400,5,3,7,5,-3245.1755476609
400,5,3,8,1,-3221.12049914994
400,5,3,8,2,-3270.98456872568
400,5,3,8,3,-3302.98348831421
400,5,3,8,4,-3307.37587204465
400,5,3,8,5,-3255.22241043434
400,5,4,4,1,-3228.92905150843
400,5,4,4,2,-3252.10728107367
400,5,4,4,3,-3221.43308906246
400,5,4,4,4,-3250.25092144343
400,5,4,4,5,-3217.22859094776
400,5,4,5,1,-3221.4296885833
400,5,4,5,2,-3246.95739915368
400,5,4,5,3,-3226.54669512697
400,5,4,5,4,-3249.41217830011
400,5,4,5,5,-3209.19054620059
400,5,4,6,1,-3247.10741036162
400,5,4,6,2,-3270.27302833213
400,5,4,6,3,-3236.49813185084
400,5,4,6,4,-3249.45786505713
400,5,4,6,5,-3224.8144183198
400,5,4,7,1,-3227.7735822964
400,5,4,7,2,-3259.84343907848
400,5,4,7,3,-3243.43836890734
400,5,4,7,4,-3260.70561535202
400,5,4,7,5,-3212.46744991605
400,5,4,8,1,-3270.31639700636
400,5,4,8,2,-3261.32489120831
400,5,4,8,3,-3240.14091999357
400,5,4,8,4,-3261.26776323441
400,5,4,8,5,-3223.97173562047
400,5,5,4,1,-3245.49701608159
400,5,5,4,2,-3223.07198266945
400,5,5,4,3,-3238.64826888876
400,5,5,4,4,-3263.7235717886
400,5,5,4,5,-3220.97133475999
400,5,5,5,1,-3254.04352457159
400,5,5,5,2,-3213.07359938982
400,5,5,5,3,-3234.58301393027
400,5,5,5,4,-3277.33389662072
400,5,5,5,5,-3237.56260894155
400,5,5,6,1,-3245.72497935508
400,5,5,6,2,-3253.50017772246
400,5,5,6,3,-3254.60422240991
400,5,5,6,4,-3311.98025314195
400,5,5,6,5,-3223.04331472102
400,5,5,7,1,-3249.07381668913
400,5,5,7,2,-3228.84665065635
400,5,5,7,3,-3244.80574636364
400,5,5,7,4,-3265.86859377593
400,5,5,7,5,-3233.10659887648
400,5,5,8,1,-3252.58182927503
400,5,5,8,2,-3236.65500055946
400,5,5,8,3,-3253.95487251762
400,5,5,8,4,-3278.30563045002
400,5,5,8,5,-3236.82102916554
400,6,1,4,1,-3351.65601019626
400,6,1,4,2,-3290.89622393413
400,6,1,4,3,-3333.97832668528
400,6,1,4,4,-3286.93384268556
400,6,1,4,5,-3326.39445243404
400,6,1,5,1,-3357.61491030477
400,6,1,5,2,-3282.3743063235
400,6,1,5,3,-3311.33666946839
400,6,1,5,4,-3291.78225965945
400,6,1,5,5,-3325.3682892868
400,6,1,6,1,-3336.00316259135
400,6,1,6,2,-3279.01885114383
400,6,1,6,3,-3332.10270663885
400,6,1,6,4,-3282.59363551678
400,6,1,6,5,-3329.19937215084
400,6,1,7,1,-3334.5458425672
400,6,1,7,2,-3286.70858787254
400,6,1,7,3,-3327.92173222144
400,6,1,7,4,-3287.8167190793
400,6,1,7,5,-3317.67977775768
400,6,1,8,1,-3339.82185034742
400,6,1,8,2,-3293.43125582809
400,6,1,8,3,-3350.72693304217
400,6,1,8,4,-3301.77318460526
400,6,1,8,5,-3341.33184996069
400,6,2,4,1,-3422.18522986217
400,6,2,4,2,-3365.75204241423
400,6,2,4,3,-3345.52921999845
400,6,2,4,4,-3309.67624487339
400,6,2,4,5,-3358.99032601982
400,6,2,5,1,-3402.9729256081
400,6,2,5,2,-3338.64901580707
400,6,2,5,3,-3354.71186544069
400,6,2,5,4,-3298.05144177696
400,6,2,5,5,-3327.50481944131
400,6,2,6,1,-3399.23599503941
400,6,2,6,2,-3326.40797730965
400,6,2,6,3,-3328.11155533573
400,6,2,6,4,-3302.32494979789
400,6,2,6,5,-3321.62319271221
400,6,2,7,1,-3408.47047523847
400,6,2,7,2,-3338.13332829205
400,6,2,7,3,-3332.30853890429
400,6,2,7,4,-3309.20761422963
400,6,2,7,5,-3325.05233558898
400,6,2,8,1,-3414.50887351319
400,6,2,8,2,-3347.6527625556
400,6,2,8,3,-3352.19242473811
400,6,2,8,4,-3315.52924940645
400,6,2,8,5,-3365.12721383186
400,6,3,4,1,-3291.06380673857
400,6,3,4,2,-3300.68342634739
400,6,3,4,3,-3360.38978777788
400,6,3,4,4,-3339.33729472112
400,6,3,4,5,-3325.63531714569
400,6,3,5,1,-3264.27369770586
400,6,3,5,2,-3276.55901304129
400,6,3,5,3,-3381.23779242343
400,6,3,5,4,-3314.81492679364
400,6,3,5,5,-3308.84099848636
400,6,3,6,1,-3260.13348161764
400,6,3,6,2,-3281.20116043932
400,6,3,6,3,-3330.58765141374
400,6,3,6,4,-3311.88838855763
400,6,3,6,5,-3308.62640159112
400,6,3,7,1,-3290.29057085105
400,6,3,7,2,-3277.04794241401
400,6,3,7,3,-3336.15946636056
400,6,3,7,4,-3324.61557538006
400,6,3,7,5,-3307.7897512899
400,6,3,8,1,-3271.40018756191
400,6,3,8,2,-3276.60288359512
400,6,3,8,3,-3336.74869466813
400,6,3,8,4,-3327.61531312374
400,6,3,8,5,-3313.31550288121
400,6,4,4,1,-3275.8767303782
400,6,4,4,2,-3293.91520958958
400,6,4,4,3,-3271.99409463064
400,6,4,4,4,-3227.56413854806
400,6,4,4,5,-3277.15281759551
400,6,4,5,1,-3265.60751726435
400,6,4,5,2,-3268.39851330203
400,6,4,5,3,-3257.01431874327
400,6,4,5,4,-3214.01489801308
400,6,4,5,5,-3276.4270894706
400,6,4,6,1,-3254.92510472923
400,6,4,6,2,-3253.7888395742
400,6,4,6,3,-3246.07351101723
400,6,4,6,4,-3204.94104621304
400,6,4,6,5,-3262.28752559051
400,6,4,7,1,-3264.52312126864
400,6,4,7,2,-3272.07706576928
400,6,4,7,3,-3251.65621715546
400,6,4,7,4,-3221.27821025574
400,6,4,7,5,-3272.70622951588
400,6,4,8,1,-3265.12832603477
400,6,4,8,2,-3272.61321021775
400,6,4,8,3,-3257.84214643329
400,6,4,8,4,-3220.69657465301
400,6,4,8,5,-3308.51769750002
400,6,5,4,1,-3313.25676371851
400,6,5,4,2,-3297.93528731754
400,6,5,4,3,-3275.15458847198
400,6,5,4,4,-3284.03732984023
400,6,5,4,5,-3286.97410916926
